category,image_id,ecg_id,baseline_status,candidate_status,status_changed,median_correlation_delta,median_rmse_mv_delta,median_snr_db_delta,median_gain_error_delta,elapsed_seconds_delta,baseline_quality_gate,candidate_quality_gate
photos_bents,81,LPAE_00232_hr,success,success,False,0.0,0.0,0.0,0.0,-0.1959014589938306,reject,reject
photos_crumbles,81,LPAE_00232_hr,success,success,False,0.5199547195881309,-0.08691046500395377,3.8113534563935936,0.27042999693054126,2.948342124998817,reject,reject
photos_doogee,81,LPAE_00232_hr,success,success,False,0.0,0.0,0.0,0.0,0.4135760839963041,accept,accept
photos_iphone,81,LPAE_00232_hr,success,success,False,0.0,0.0,0.0,0.0,0.09763529200245102,warn,warn
photos_samsung,81,LPAE_00232_hr,success,success,False,0.0,0.0,0.0,0.0,0.12013979299445054,warn,warn
photos_scans,81,LPAE_00232_hr,success,success,False,-0.0006461952923024761,0.0002560214794143645,-0.030332179759318123,-0.0013012556709295353,0.38310054200883314,warn,warn
photos_screens,81,LPAE_00232_hr,success,success,False,0.0,0.0,0.0,0.0,-1.4778697499950795,reject,reject
photos_bents,10,LPAE_04827_hr,success,success,False,-0.001337044448899538,0.0007381522388183182,-0.010103644071489976,-0.0032148745975626447,-0.15486324999619683,reject,reject
photos_crumbles,10,LPAE_04827_hr,success,success,False,0.0,0.0,0.0,0.0,0.31397966599797655,reject,reject
photos_doogee,10,LPAE_04827_hr,success,success,False,-0.0006713365318768982,0.00011411333120203704,-0.06897220620409872,-0.0004870349746523006,0.4032524169997487,reject,reject
photos_iphone,10,LPAE_04827_hr,success,success,False,0.0,0.0,0.0,0.0,4.3457997890072875e-05,warn,warn
photos_samsung,10,LPAE_04827_hr,success,success,False,-0.0048678991954677064,0.002163938303793661,-0.051927202564508335,-0.0012903717263161862,0.3478437910107459,warn,warn
photos_scans,10,LPAE_04827_hr,success,success,False,0.0,0.0,0.0,0.0,1.4543740829976741,accept,accept
photos_screens,10,LPAE_04827_hr,success,success,False,0.013490156136676035,-0.0015378578902064816,-0.020420162550732535,-0.002195180642477146,0.984883290993821,warn,warn
photos_bents,40,LPAE_09275_hr,success,success,False,0.0,0.0,0.0,0.0,-3.0384802500011574,reject,reject
photos_crumbles,40,LPAE_09275_hr,success,success,False,7.412555014241207e-10,0.0,0.0,0.0,0.6262572079995152,reject,reject
photos_doogee,40,LPAE_09275_hr,success,success,False,0.0,0.0,0.0,0.0,0.6472425010088045,accept,accept
photos_iphone,40,LPAE_09275_hr,success,success,False,0.0,0.0,0.0,0.0,-0.8529358750001848,warn,warn
photos_samsung,40,LPAE_09275_hr,success,success,False,0.0,0.0,0.0,0.0,0.14314441599526617,accept,accept
photos_scans,40,LPAE_09275_hr,success,success,False,0.0,0.0,0.0,0.0,0.247386415996516,warn,warn
photos_screens,40,LPAE_09275_hr,success,success,False,0.0,0.0,0.0,0.0,2.918176915989534,reject,reject
photos_bents,42,LPAE_09545_hr,success,success,False,0.0,0.0,0.0,0.0,0.9463621660052013,reject,reject
photos_crumbles,42,LPAE_09545_hr,success,success,False,0.0,0.0,0.0,0.0,0.027277749997665524,reject,reject
