category,image_id,ecg_id,baseline_status,candidate_status,status_changed,median_correlation_delta,median_rmse_mv_delta,median_snr_db_delta,median_gain_error_delta,elapsed_seconds_delta,baseline_quality_gate,candidate_quality_gate
photos_bents,81,LPAE_00232_hr,success,success,False,0.3206523757041039,-0.07765098059701464,2.0694486196782735,0.10984098018985122,-1.9942946669889352,reject,reject
photos_crumbles,81,LPAE_00232_hr,success,success,False,-0.005493274716156682,-0.003772594310576749,0.03980139221988166,0.01098704355404867,-0.8177463750089373,reject,reject
photos_doogee,81,LPAE_00232_hr,success,success,False,0.02361357908097106,0.003982064904875127,0.033336274783200004,-0.021198430908786037,0.7403137509936641,accept,accept
photos_iphone,81,LPAE_00232_hr,success,success,False,-0.0005026679581195959,-0.00021377696374880184,-0.001021596836736638,0.002787900541941668,0.35964179099210014,warn,warn
photos_samsung,81,LPAE_00232_hr,success,success,False,-0.0006943782607929938,-0.0020458969256203358,-0.0020621397559423826,0.002438116088343767,-2.9840899579903635,warn,accept
photos_scans,81,LPAE_00232_hr,success,success,False,-0.0006461952923024761,0.0002560214794143645,-0.030332179759318123,-0.0013012556709295353,1.069944500008205,warn,warn
photos_screens,81,LPAE_00232_hr,success,success,False,0.02350959754416282,0.0006372320720895164,-0.028642625115449682,-0.0007269877529809676,-0.4277257500016276,reject,reject
photos_bents,10,LPAE_04827_hr,success,success,False,0.1782979469861642,-0.01230111022899777,0.6718871700728573,0.0029866650075107692,0.20092991599267407,reject,reject
photos_crumbles,10,LPAE_04827_hr,success,success,False,0.015133183204772305,0.001810093960360637,0.3390058522687318,0.012154998226842406,0.9098732079892216,reject,reject
photos_doogee,10,LPAE_04827_hr,success,success,False,-0.0007426432921553427,0.0002368864938731563,-0.058022129606202455,-0.0015985032730555515,2.6614390830036427,reject,reject
photos_iphone,10,LPAE_04827_hr,success,success,False,0.00012168915404553449,-6.096951127906869e-05,0.0028607982148090016,0.0020680079593148326,1.3476327910011605,warn,warn
photos_samsung,10,LPAE_04827_hr,success,success,False,-0.0028197935529614693,5.089660535695373e-05,0.06009769466732884,0.002278677897926018,2.5427822079964244,warn,warn
photos_scans,10,LPAE_04827_hr,success,success,False,0.0,0.0,0.0,0.0,3.1856056670076214,accept,accept
