category,image_id,image_path,ecg_id,layout,status,error,method,cosine_similarity,mean_abs_probability_difference,agreement_rate
photos_bents,4,photos_bents/img_4_page_0.jpeg,LPAE_20999_hr,3x4+1R,success,,tiled,0.8841995000839233,0.0526740662753582,0.9666666666666667
photos_bents,4,photos_bents/img_4_page_0.jpeg,LPAE_20999_hr,3x4+1R,success,,segment_ensemble,0.8469343781471252,0.05248458683490753,0.9666666666666667
photos_crumbles,4,photos_crumbles/img_4_page_0.jpeg,LPAE_20999_hr,3x4+1R,success,,tiled,0.8327921032905579,0.05886102840304375,0.9733333333333334
photos_crumbles,4,photos_crumbles/img_4_page_0.jpeg,LPAE_20999_hr,3x4+1R,success,,segment_ensemble,0.7852580547332764,0.06802164763212204,0.9466666666666667
photos_doogee,4,photos_doogee/img_4_page_0.jpeg,LPAE_20999_hr,3x4+1R,success,,tiled,0.8692169189453125,0.05904441326856613,0.9666666666666667
photos_doogee,4,photos_doogee/img_4_page_0.jpeg,LPAE_20999_hr,3x4+1R,success,,segment_ensemble,0.8581658005714417,0.0498400516808033,0.9533333333333334
photos_iphone,4,photos_iphone/img_4_page_0.jpeg,LPAE_20999_hr,3x4+1R,success,,tiled,0.9663546085357666,0.02395700290799141,0.9733333333333334
photos_iphone,4,photos_iphone/img_4_page_0.jpeg,LPAE_20999_hr,3x4+1R,success,,segment_ensemble,0.9033946990966797,0.040030211210250854,0.9666666666666667
photos_samsung,4,photos_samsung/img_4_page_0.jpeg,LPAE_20999_hr,3x4+1R,success,,tiled,0.9613310694694519,0.024502582848072052,0.98
photos_samsung,4,photos_samsung/img_4_page_0.jpeg,LPAE_20999_hr,3x4+1R,success,,segment_ensemble,0.9034835696220398,0.038718774914741516,0.9533333333333334
photos_scans,4,photos_scans/img_4_page_0.jpeg,LPAE_20999_hr,3x4+1R,success,,tiled,0.947961151599884,0.02792012132704258,0.9866666666666667
photos_scans,4,photos_scans/img_4_page_0.jpeg,LPAE_20999_hr,3x4+1R,success,,segment_ensemble,0.9108573198318481,0.03648952767252922,0.9666666666666667
photos_screens,4,photos_screens/img_4_page_0.jpeg,LPAE_20999_hr,3x4+1R,success,,tiled,0.8469895720481873,0.0617418996989727,0.9733333333333334
photos_screens,4,photos_screens/img_4_page_0.jpeg,LPAE_20999_hr,3x4+1R,success,,segment_ensemble,0.8247410655021667,0.06158845126628876,0.9333333333333333
photos_bents,10,photos_bents/img_10_page_0.jpeg,LPAE_04827_hr,3x4+1R,success,,tiled,0.8652796745300293,0.054533950984478,0.9666666666666667
photos_bents,10,photos_bents/img_10_page_0.jpeg,LPAE_04827_hr,3x4+1R,success,,segment_ensemble,0.8520856499671936,0.05666836351156235,0.9666666666666667
photos_crumbles,10,photos_crumbles/img_10_page_0.jpeg,LPAE_04827_hr,3x4+1R,success,,tiled,0.8392577767372131,0.05297600477933884,0.98
photos_crumbles,10,photos_crumbles/img_10_page_0.jpeg,LPAE_04827_hr,3x4+1R,success,,segment_ensemble,0.9448583722114563,0.03485943377017975,0.9866666666666667
photos_doogee,10,photos_doogee/img_10_page_0.jpeg,LPAE_04827_hr,3x4+1R,success,,tiled,0.9226869344711304,0.0350409559905529,0.9866666666666667
photos_doogee,10,photos_doogee/img_10_page_0.jpeg,LPAE_04827_hr,3x4+1R,success,,segment_ensemble,0.9825668931007385,0.01865467242896557,1.0
photos_iphone,10,photos_iphone/img_10_page_0.jpeg,LPAE_04827_hr,3x4+1R,success,,tiled,0.8931115865707397,0.0399320162832737,0.9733333333333334
